"","source","Feature","Gain","Cover","Frequency","Importance"
"131","xgb6","DIQ010_3",1.02588346993602e-07,0.000231532498407433,0.00104766893661603,0.00104766893661603
"132","xgb6","DIQ010_1",1.00689065679625e-07,0.000315025782455438,0.000523834468308015,0.000523834468308015
"133","xgb6","BPXPLS",9.93684963472122e-08,0.000112643059027357,0.0136196961760084,0.0136196961760084
"134","xgb6","URXUMA",9.86055352369071e-08,0.00266439353945209,0.00838135149292824,0.00838135149292824
"135","xgb6","bp_cat_meds_included_SBPof130to140orDBP80to90mmHg",9.56852819252285e-08,0.00242338736417636,0.00261917234154007,0.00261917234154007
"136","xgb6","WHD050",8.77147722260903e-08,0.000852526811806866,0.00104766893661603,0.00104766893661603
"137","xgb6","bp_med_n_class_Two",8.76020477307543e-08,2.08212678423951e-06,0.00104766893661603,0.00104766893661603
"138","xgb6","DS1ANCNT",8.28297652463939e-08,0.000129820604997333,0.00261917234154007,0.00261917234154007
"139","xgb6","bp_cat_meds_excluded_SBPof130to140orDBP80to90mmHg",7.73233000816671e-08,0.00255341618185212,0.00419067574646412,0.00419067574646412
"140","xgb6","LBXHGB",7.69118147970398e-08,4.45575131827255e-05,0.00733368255631221,0.00733368255631221
"141","xgb6","LBXHCT",6.82176426099374e-08,2.45690960540262e-05,0.00157150340492404,0.00157150340492404
"142","xgb6","LBXNEPCT",5.49997813524312e-08,0.00063608973258517,0.00628601361969618,0.00628601361969618
"143","xgb6","HSQ590_2",5.31926341090218e-08,9.99420856434964e-06,0.00104766893661603,0.00104766893661603
"144","xgb6","BMXWAIST",5.20000593945916e-08,0.000738946795726601,0.0036668412781561,0.0036668412781561
"145","xgb6","LBDMONO",4.7095073555529e-08,1.14516973133173e-06,0.000523834468308015,0.000523834468308015
"146","xgb6","LBXMCHSI",4.47052153899489e-08,2.81087115872334e-05,0.0036668412781561,0.0036668412781561
"147","xgb6","LBXMOPCT",4.31062190256681e-08,7.42278198581385e-05,0.00104766893661603,0.00104766893661603
"148","xgb6","cc_cvd_ascvd_No",4.02669648580209e-08,0.000255893381783036,0.000523834468308015,0.000523834468308015
"149","xgb6","LBXLYPCT",3.31596718015409e-08,1.83227157013077e-05,0.00419067574646412,0.00419067574646412
"150","xgb6","LBDEONO",2.3727272046843e-08,0.0147991325443391,0.00628601361969618,0.00628601361969618
"151","xgb6","bp_med_recommended_jnc7_No",2.21929970469641e-08,4.06014722926704e-06,0.000523834468308015,0.000523834468308015
"152","xgb6","bp_cat_meds_included_takingantihypertensivemedications",2.14416857822515e-08,0.000769137634098074,0.000523834468308015,0.000523834468308015
"153","xgb6","bp_med_n_pills_Fourormore",8.94750602510528e-09,0.000853671981538198,0.00261917234154007,0.00261917234154007
"154","xgb6","PUQ100_9",7.95976135798517e-09,4.06014722926704e-05,0.000523834468308015,0.000523834468308015
"155","xgb6","BPQ070_4",7.78329938973549e-09,0.00032835139387457,0.00104766893661603,0.00104766893661603
"156","xgb6","PUQ110_1",7.17147177541545e-09,4.06014722926704e-05,0.000523834468308015,0.000523834468308015
"157","xgb6","bp_med_pills_gteq_2_No",4.73727313775462e-09,1.29091860622849e-05,0.000523834468308015,0.000523834468308015
