"","Year","Feature","Gain_mean","Gain_sd","Cover_mean","Cover_sd","Frequency_mean","Frequency_sd","Count"
"146","post2013","MCQ160A_1",6.08275472224996e-05,9.7070747475626e-05,0.000166949153813325,0.000176827026808233,0.00245370903755149,0.00197670485780687,2
"147","post2013","cc_cvd_hf_No",1.81481162160345e-09,1.12742750072534e-09,0.00059263495723766,0.000698751294086169,0.00205337327006009,0.00110236238780458,3
"148","post2013","WHD020",1.85692990110518e-06,2.05052631847472e-06,2.27916856324576e-05,9.35645851542909e-06,0.00184074857423424,0.00105423726960528,3
"149","post2013","bp_med_n_pills_One",0.00016809026649511,0.000184231960505706,2.78337874279587e-05,2.4010443292801e-05,0.00176524697990948,0.00116101264828015,2
"150","post2013","bp_med_n_class_None",8.23897397067753e-09,6.60442297836901e-09,0.00174361764156017,0.00137275783082344,0.00147767367854374,0.00096024496651032,2
"151","post2013","bp_med_n_class_Two",4.01141143209858e-09,4.98394497566168e-09,0.000291003960912645,0.000385978998461871,0.00129858981262535,0.000501059753328327,2
"152","post2013","LBDLYMNO",1.23665170490613e-07,1.72301317238536e-07,4.0778504687192e-05,3.1812712057664e-05,0.00124434430383439,0.000424345019098318,3
"153","post2013","cc_bmi_30to35",3.73930258349578e-07,4.85004154906707e-07,1.53926334154089e-05,4.08833138754908e-06,0.00110908620679285,0.000233061183841401,2
"154","post2013","demo_race_NonplusHispanicAsian",3.2099836477357e-09,4.32564128150221e-09,0.00181409971829026,0.0025010439161593,0.00106797715791786,0.000291198158296678,2
"155","overall","demo_age_years",0.000531560804307979,0.000293683743247127,0.0247665736772595,0.0178968561761269,0.110993098841166,0.026824550654525,3
"156","overall","bp_sys_mean",0.000187633709394072,0.000111421039575726,0.14036043225512,0.0442243900397023,0.0934354363380471,0.0209250670199372,3
"157","overall","DSDCOUNT_x",5.97926257147331e-05,7.37062466695423e-05,0.0526515542593942,0.0426464693053044,0.0517858370451195,0.0344337902779325,3
"158","overall","demo_age_cat_65to74",0.00171543144266479,0.000671554212328618,0.0202423705819896,0.0115338208721949,0.042716770601526,0.0127153771819594,3
"159","overall","bp_med_recommended_accaha_No",0.00493697215936447,0.00113704502255917,0.0267276811763307,0.0165996606281204,0.0394265658973989,0.0151620984909931,3
"160","overall","bp_cat_meds_excluded_SBPof120to130andDBP80mmHg",0.480409732869902,0.00590065877899992,0.110863054201606,0.017628853709894,0.0363302606503862,0.011921963110068,3
"161","overall","bp_dia_mean",8.44888798650928e-05,0.000193944076497953,0.0134148384688858,0.00652672509383462,0.0361922134445637,0.00795305259054119,3
"162","overall","URXUMA",5.0695364182634e-05,5.04511814526193e-05,0.0466492010681312,0.0324118078303165,0.0332686445918179,0.0203224122955691,3
"163","overall","HOD050",4.67841190377165e-05,6.88744620246587e-05,0.0452307930308722,0.0341778219028011,0.0321522741076837,0.0192654453524343,3
